dist_code,year,state_code,state_name,dist_name,rice_harvest_price_(rs_per_quintal),paddy_harvest_price_(rs_per_quintal),wheat_harvest_price_(rs_per_quintal),sorghum_harvest_price_(rs_per_quintal),pearl_millet_harvest_price_(rs_per_quintal),maize_harvest_price_(rs_per_quintal),finger_millet_harvest_price_(rs_per_quintal),barley_harvest_price_(rs_per_quintal),chickpea_harvest_price_(rs_per_quintal),pigeonpea_harvest_price_(rs_per_quintal),groundnut_harvest_price_(rs_per_quintal),seasmum_harvest_price_(rs_per_quintal),rape_and_mustard_harvest_price_(rs_per_quintal),castor_harvest_price_(rs_per_quintal),linseed_harvest_price_(rs_per_quintal),sugarcane_gur_harvest_price_(rs_per_quintal),cotton_kapas_harvest_price_(rs_per_quintal)
216,1975,12,Uttar Pradesh,Varanasi,466.6462559382423,80.0,403.314013281792,309.3118230223124,293.84184125110653,349.0165423143351,301.9138116591928,297.0802392626005,843.6995126223595,1003.9673023255814,996.0475178191822,1408.5887016443867,997.7995313465101,884.1106108202443,302.5,549.9763331481738,976.5433229009282
216,1976,12,Uttar Pradesh,Varanasi,466.6462559382423,101.1,122.3,309.3118230223124,293.84184125110653,349.0165423143351,301.9138116591928,82.1,130.6,1003.9673023255814,996.0475178191822,1408.5887016443867,997.7995313465101,884.1106108202443,854.2871327191235,549.9763331481738,976.5433229009282
216,1977,12,Uttar Pradesh,Varanasi,466.6462559382423,77.9,116.3,309.3118230223124,293.84184125110653,349.0165423143351,301.9138116591928,106.3,208.8,1003.9673023255814,996.0475178191822,1408.5887016443867,997.7995313465101,884.1106108202443,291.0,549.9763331481738,976.5433229009282
216,1978,12,Uttar Pradesh,Varanasi,466.6462559382423,81.0,116.8,309.3118230223124,293.84184125110653,349.0165423143351,301.9138116591928,109.3,210.0,1003.9673023255814,996.0475178191822,1408.5887016443867,997.7995313465101,884.1106108202443,285.6,549.9763331481738,976.5433229009282
216,1979,12,Uttar Pradesh,Varanasi,466.6462559382423,115.3,135.9,309.3118230223124,293.84184125110653,349.0165423143351,301.9138116591928,89.6,240.1,1003.9673023255814,996.0475178191822,1408.5887016443867,997.7995313465101,884.1106108202443,854.2871327191235,549.9763331481738,976.5433229009282
216,1980,12,Uttar Pradesh,Varanasi,466.6462559382423,143.9,135.9,309.3118230223124,293.84184125110653,349.0165423143351,301.9138116591928,297.0802392626005,292.5,1003.9673023255814,996.0475178191822,1408.5887016443867,997.7995313465101,884.1106108202443,854.2871327191235,549.9763331481738,976.5433229009282
216,1981,12,Uttar Pradesh,Varanasi,466.6462559382423,397.54098555505004,403.314013281792,309.3118230223124,293.84184125110653,349.0165423143351,301.9138116591928,297.0802392626005,843.6995126223595,1003.9673023255814,996.0475178191822,1408.5887016443867,997.7995313465101,884.1106108202443,854.2871327191235,549.9763331481738,976.5433229009282
216,1982,12,Uttar Pradesh,Varanasi,466.6462559382423,397.54098555505004,403.314013281792,309.3118230223124,293.84184125110653,349.0165423143351,301.9138116591928,297.0802392626005,843.6995126223595,1003.9673023255814,996.0475178191822,1408.5887016443867,997.7995313465101,884.1106108202443,854.2871327191235,549.9763331481738,976.5433229009282
216,1983,12,Uttar Pradesh,Varanasi,466.6462559382423,397.54098555505004,403.314013281792,309.3118230223124,293.84184125110653,349.0165423143351,301.9138116591928,297.0802392626005,843.6995126223595,1003.9673023255814,996.0475178191822,1408.5887016443867,997.7995313465101,884.1106108202443,854.2871327191235,549.9763331481738,976.5433229009282
216,1984,12,Uttar Pradesh,Varanasi,466.6462559382423,121.3,170.6,124.2,293.84184125110653,349.0165423143351,301.9138116591928,131.9,361.3,321.3,996.0475178191822,1408.5887016443867,997.7995313465101,884.1106108202443,854.2871327191235,549.9763331481738,976.5433229009282
216,1985,12,Uttar Pradesh,Varanasi,466.6462559382423,397.54098555505004,403.314013281792,309.3118230223124,293.84184125110653,349.0165423143351,301.9138116591928,297.0802392626005,843.6995126223595,1003.9673023255814,996.0475178191822,1408.5887016443867,997.7995313465101,884.1106108202443,854.2871327191235,549.9763331481738,976.5433229009282
216,1986,12,Uttar Pradesh,Varanasi,466.6462559382423,397.54098555505004,403.314013281792,309.3118230223124,293.84184125110653,349.0165423143351,301.9138116591928,297.0802392626005,843.6995126223595,1003.9673023255814,996.0475178191822,1408.5887016443867,997.7995313465101,884.1106108202443,854.2871327191235,549.9763331481738,976.5433229009282
216,1987,12,Uttar Pradesh,Varanasi,466.6462559382423,397.54098555505004,403.314013281792,309.3118230223124,293.84184125110653,349.0165423143351,301.9138116591928,297.0802392626005,843.6995126223595,1003.9673023255814,996.0475178191822,1408.5887016443867,997.7995313465101,884.1106108202443,854.2871327191235,549.9763331481738,976.5433229009282
216,1988,12,Uttar Pradesh,Varanasi,466.6462559382423,397.54098555505004,403.314013281792,309.3118230223124,293.84184125110653,349.0165423143351,301.9138116591928,297.0802392626005,843.6995126223595,1003.9673023255814,996.0475178191822,1408.5887016443867,997.7995313465101,884.1106108202443,854.2871327191235,549.9763331481738,976.5433229009282
216,1989,12,Uttar Pradesh,Varanasi,466.6462559382423,397.54098555505004,403.314013281792,309.3118230223124,293.84184125110653,349.0165423143351,301.9138116591928,297.0802392626005,843.6995126223595,1003.9673023255814,996.0475178191822,1408.5887016443867,997.7995313465101,884.1106108202443,854.2871327191235,549.9763331481738,976.5433229009282
216,1990,12,Uttar Pradesh,Varanasi,466.6462559382423,397.54098555505004,316.0,309.3118230223124,293.84184125110653,349.0165423143351,301.9138116591928,260.0,734.0,796.0,996.0475178191822,1408.5887016443867,997.7995313465101,884.1106108202443,854.2871327191235,549.9763331481738,976.5433229009282
216,1991,12,Uttar Pradesh,Varanasi,466.6462559382423,286.0,239.0,362.0,378.0,322.0,301.9138116591928,288.0,638.0,684.0,996.0475178191822,1408.5887016443867,997.7995313465101,884.1106108202443,854.2871327191235,549.9763331481738,976.5433229009282
